Quest_ID,Reward_Name,Platform,XP,Gold,Silver,Copper,Items,Item_Count
1097,EndgegnerSoulforgerKilled,P211,15000,0,0,0,,0
971,P212KarteErreicht,P212,5000,0,0,0,,0
958,MiniforgersKilled,P212,30000,0,0,0,,0
UNMAPPED,Stele1Off,P212,7000,0,0,0,,0
UNMAPPED,Stele2Off,P212,7000,0,0,0,,0
UNMAPPED,Stele3Off,P212,7000,0,0,0,,0
UNMAPPED,Stele4Off,P212,7000,0,0,0,,0
UNMAPPED,Stele5Off,P212,7000,0,0,0,,0
UNMAPPED,Stele6Off,P212,7000,0,0,0,,0
UNMAPPED,AlleStelenOff,P212,20000,0,0,0,,0
956,P213KarteErreicht,P213,5000,0,0,0,,0
UNMAPPED,DschungelWeisenDialog,P213,8000,0,0,0,,0
UNMAPPED,BeideMumienCampsPlatt,P213,15000,0,0,0,,0
1008,NahrungFuerAffenjunge,P213,10000,0,0,0,,0
1006,WegZumTorFreigeraeumt,P213,17500,0,0,0,,0
UNMAPPED,BlutigenDariusBefreit,P213,30000,0,0,0,,0
