Reward_Name,Platform,XP,Items,Confidence,Language,Quest_Text_From_CFF,Suggested_Quest_IDs,Quest_Descriptions
"TricksterReturn","P63",1000,"[]",0.500,"English","ui_item_quest_hadekodoll_trickster","NOT_FOUND","No matching quest in database"
"EchosBuch","P1",200,"[]",0.500,"English","QuestItem Buch des Shan Tar Guar","NOT_FOUND","No matching quest in database"
"DieFreihaendler","P2",20,"[]",0.500,"English","Talk to one of the soldiers in order to open the gate to Eloni.","NOT_FOUND","No matching quest in database"
"Marcia1","P9",150,"[]",0.500,"English","Marcia; the messenger of the order; is in Stonewell preparing the city for another attack from the U","NOT_FOUND","No matching quest in database"
"GwensMedizin","P17",600,"[]",0.500,"English","Sunder Dundrew; Gwens Father; is waiting wistfully for the medicine. It should be brought to him as ","NOT_FOUND","No matching quest in database"
"WumpusKilled","P101",550,"[]",0.500,"English","This ability permits the use of small bladed weapons that give fighters or those skilled in magic so","NOT_FOUND","No matching quest in database"
"JaninaBefreit","P102",65,"[]",0.500,"English","Bring Janina to Hulu in the camp of the Skerg in the East","NOT_FOUND","No matching quest in database"
"HuluErreicht","P102",65,"[]",0.500,"English","Bring Janina to Hulu in the camp of the Skerg in the East","NOT_FOUND","No matching quest in database"
"SetriusErreicht","P102",65,"[]",0.500,"English","Bring Janina to Setrius in the Northeast","NOT_FOUND","No matching quest in database"
"WaldschrateKilled","P103",250,"[]",0.500,"English","This ability permits the use of small bladed weapons that give fighters or those skilled in magic so","NOT_FOUND","No matching quest in database"
"GeistercampBesiegt","P107",1150,"[]",0.500,"English","Wenn Du sie besiegt hast; dann bring die Rune zu mir! Ich werde sie Meister Rohen","NOT_FOUND","No matching quest in database"
"AnfuehrerBesiegt","P107",1150,"[]",0.500,"English","Wenn Du sie besiegt hast; dann bring die Rune zu mir! Ich werde sie Meister Rohen","NOT_FOUND","No matching quest in database"
"WindjalfBefreit","P108",1150,"[]",0.500,"English","Defeat Gorg and set Windjalf free from the cave.","610;772","Windjalf! Bei Eisen und Licht; ich hätte nie gedac | Windjalf! Bei Eisen und Licht; ich hätte nie gedac"
"ZwergeBefreit","P109",550,"[]",0.500,"English","Ich bringe Kunde vom Hetman der Zwerge.","NOT_FOUND","No matching quest in database"
"TorZerstoert","P109",750,"[]",0.500,"English","ui_btn_build_troll_corpsecollector","NOT_FOUND","No matching quest in database"
"GrimBesiegt","P110",750,"[]",0.500,"English","Wenn Du sie besiegt hast; dann bring die Rune zu mir! Ich werde sie Meister Rohen","NOT_FOUND","No matching quest in database"
"ElementBeschworen","P111",600,"[]",0.500,"English","Elemental Magic is dedicated to controlling the elements fire; ice and earth. High intelligence and ","NOT_FOUND","No matching quest in database"
"DracheGetoetet","P115",5000,"[]",0.500,"English","QuestItem Drachenblut","NOT_FOUND","No matching quest in database"
"UriasBefreit","P201",8000,"[]",0.500,"English","The order warrior Urias knows more about Hokan and his myrmidons. He commands the outposts of the or","NOT_FOUND","No matching quest in database"
"CampsZerstoert","P201",15000,"[]",0.500,"English","The way to the east is being guarded by Brannigan's armies. In the North and the South; there are la","NOT_FOUND","No matching quest in database"
"GurimLebt","P201",5000,"[]",0.500,"English","Talk to Gurim in the Western part of the Blackwater Coast once again","NOT_FOUND","No matching quest in database"
"WachgeistTot","P202",4000,"[]",0.500,"English","This is where you can learn new abilities. In total; you can learn up to 10 new abilities.","NOT_FOUND","No matching quest in database"
"OpferFreigelassen","P202",6000,"[]",0.500,"English","ume seiner Opfer. Bringt es  zu mir; wenn ihr erfolgreich wart. Wenn iche s studiere; finde ich viel","NOT_FOUND","No matching quest in database"
"AschetaenzerTot","P202",12000,"[]",0.500,"English","This is where you can learn new abilities. In total; you can learn up to 10 new abilities.","NOT_FOUND","No matching quest in database"
"BlockadeDurchbrochen","P203",10000,"[]",0.500,"English","All of them! The whole army! Every knight; every esquire! They will break through the blockade in th","NOT_FOUND","No matching quest in database"
"LichkoenigTot","P203",4000,"[]",0.500,"English","This is where you can learn new abilities. In total; you can learn up to 10 new abilities.","NOT_FOUND","No matching quest in database"
"TantaroGefunden","P203",5000,"[]",0.500,"English","hrer der Orks erbeuten! Bring sie zu mir; sobald du sie gefunden hast!","NOT_FOUND","No matching quest in database"
"FlinkAbgeliefert","P204",5500,"[]",0.500,"English","Flink McWinter describes himself as a nomad; but also seems to be involved in some shady dealings. H","NOT_FOUND","No matching quest in database"
"PalastgartenErreicht","P204",10000,"[]",0.500,"English","nnt mich in den Palastgarten bringen?","NOT_FOUND","No matching quest in database"
"GartenEntgiftet","P205",10000,"[]",0.500,"English","nnt mich in den Palastgarten bringen?","NOT_FOUND","No matching quest in database"
"RastplatzGefunden","P206",4500,"[]",0.500,"English","hrer der Orks erbeuten! Bring sie zu mir; sobald du sie gefunden hast!","NOT_FOUND","No matching quest in database"
"FalleAusgeloest","P206",7000,"[]",0.500,"English","A restless shadow stalked the land near the old mine in the East of Liannon. It seems to be a warrio","NOT_FOUND","No matching quest in database"
"UntotenlagerNord","P209",9000,"[]",0.500,"English","Da qualche parte a nordovest troverai uno dei tre accampamenti nemici. Questo sembra l'ultimo accamp","NOT_FOUND","No matching quest in database"
"UntotenlagerWest","P209",9000,"[]",0.500,"English","Brannigan's old headquarters reign over the Northwest of the Forest of Shadows. It's the first hindr","NOT_FOUND","No matching quest in database"
"UntotenlagerSued","P209",9000,"[]",0.500,"English","I could see them as long as I had my ring! But they pursued me! Wherever I went! I was never safe!","NOT_FOUND","No matching quest in database"
"CraigBefreit","P211",10000,"[]",0.500,"English","Trygar claims; only Craig could know something about Amra's places of residence. If he doesn't know ","NOT_FOUND","No matching quest in database"
"MiniforgersKilled","P212",30000,"[]",0.500,"English","This ability permits the use of small bladed weapons that give fighters or those skilled in magic so","NOT_FOUND","No matching quest in database"
"HeldenErschaffen","P101",45,"[]",0.500,"Italian","ne ... Ein Portal will er erschaffen?","NOT_FOUND","No matching quest in database"
"SchattenringBekommen","P111",500,"[]",0.500,"Italian","Warum habt ihr nichts unternommen um das Portal wieder frei zu bekommen?","NOT_FOUND","No matching quest in database"
"ZahnbrechersZangen","P63",35,"[]",0.500,"German","Seno; dem Zahnbrecher von Graufurt; wurden auf seiner letzten Reise nach Liannon seine Zangen und Pi","NOT_FOUND","No matching quest in database"
"SchattenweltShadowpulse","P63",500,"[]",0.500,"German","ber die Schattenwelt. Erstaunlich!","NOT_FOUND","No matching quest in database"
"Drachenpanzer1","P63",100,"[]",0.500,"German","berleben - dann kommt wieder zu mir! Ich werde Euch einen Drachenpanzer formen!","NOT_FOUND","No matching quest in database"
"Drachenpanzer2","P63",800,"[]",0.500,"German","berleben - dann kommt wieder zu mir! Ich werde Euch einen Drachenpanzer formen!","NOT_FOUND","No matching quest in database"
"Bannwerk1","P4",60,"[]",0.500,"German","r ein Bannwerk; von dem Ihr spracht?","NOT_FOUND","No matching quest in database"
"Bannwerk2","P4",60,"[]",0.500,"German","r ein Bannwerk; von dem Ihr spracht?","NOT_FOUND","No matching quest in database"
"Erdenklinge2","P10",200,"[]",0.500,"German","Bjarnes Bart; eine Erdenklinge!","NOT_FOUND","No matching quest in database"
"Erdenklinge3","P10",400,"[]",0.500,"German","Bjarnes Bart; eine Erdenklinge!","NOT_FOUND","No matching quest in database"
"Erdenklinge4","P10",400,"[]",0.500,"German","Bjarnes Bart; eine Erdenklinge!","NOT_FOUND","No matching quest in database"
"OrklagerEinnehmen","P104",175,"[]",0.500,"German","lpeln entringen. Nun wird er wieder seinen rechten Platz einnehmen.","NOT_FOUND","No matching quest in database"
"WerwolfGesamt","P109",550,"[]",0.500,"German","Nun halten sie den gesamten Osten sowie das Dorf Gannan! Sie haben alles besetzt - selbst Eure Runen","NOT_FOUND","No matching quest in database"
"MondstadtZerstoert","P110",600,"[]",0.500,"German","Ich kenne Euer Bestreben; die Mondstadt zu vernichtetn... Ihr habt eine Macht erforscht; die der sch","NOT_FOUND","No matching quest in database"
"SonnenstadtZerstoert","P110",600,"[]",0.500,"German","ssel der Sonnenstadt. Ihr findet ihn im S","NOT_FOUND","No matching quest in database"
"Drachenstein1","P115",450,"[]",0.500,"German","Denn Euer erstes Ziel sind die Drachensteine! Sie sind die Manifestationen von  Aryns erwachender Ma","NOT_FOUND","No matching quest in database"
"Drachenstein2","P115",450,"[]",0.500,"German","Denn Euer erstes Ziel sind die Drachensteine! Sie sind die Manifestationen von  Aryns erwachender Ma","NOT_FOUND","No matching quest in database"
"Drachenstein3","P115",450,"[]",0.500,"German","Denn Euer erstes Ziel sind die Drachensteine! Sie sind die Manifestationen von  Aryns erwachender Ma","NOT_FOUND","No matching quest in database"
"Drachenstein4","P115",450,"[]",0.500,"German","Denn Euer erstes Ziel sind die Drachensteine! Sie sind die Manifestationen von  Aryns erwachender Ma","NOT_FOUND","No matching quest in database"
"Drachenstein5","P115",450,"[]",0.500,"German","Denn Euer erstes Ziel sind die Drachensteine! Sie sind die Manifestationen von  Aryns erwachender Ma","NOT_FOUND","No matching quest in database"
"Drachenstein6","P115",450,"[]",0.500,"German","Denn Euer erstes Ziel sind die Drachensteine! Sie sind die Manifestationen von  Aryns erwachender Ma","NOT_FOUND","No matching quest in database"
"Drachenstein7","P115",1000,"[]",0.500,"German","Denn Euer erstes Ziel sind die Drachensteine! Sie sind die Manifestationen von  Aryns erwachender Ma","NOT_FOUND","No matching quest in database"
"Drachenstein8","P115",1000,"[]",0.500,"German","Denn Euer erstes Ziel sind die Drachensteine! Sie sind die Manifestationen von  Aryns erwachender Ma","NOT_FOUND","No matching quest in database"
"Drachenstein9","P115",1000,"[]",0.500,"German","Denn Euer erstes Ziel sind die Drachensteine! Sie sind die Manifestationen von  Aryns erwachender Ma","NOT_FOUND","No matching quest in database"
"LeutnantGesprochen","P201",3500,"[]",0.500,"German","Weise gesprochen! Der Zirkel wurde alsbald zu einem Zentrum der Macht! Eine Gefahr; die keines der V","NOT_FOUND","No matching quest in database"
"HeldenBeschworen","P202",2000,"[]",0.500,"German","Diese Helden-Rune ist aktiviert. Wird sie entfernt; so verlieren Sie auch den entsprechenden Helden;","NOT_FOUND","No matching quest in database"
"GrabmalGeoeffnet","P202",12000,"[]",0.500,"German","Das Grabmal befindet sich in der Mitte eines Pentagramms und wird von einem Fial Darg bewacht; der v","NOT_FOUND","No matching quest in database"
"WasserEntgiften","P203",10000,"[]",0.500,"German","Farlorn hat seine Glaswaren alle zum Wassertransport herausgegeben. Im Norden von Farlorns Heim soll","NOT_FOUND","No matching quest in database"
"KarawaneLosgelaufen","P206",10300,"[]",0.500,"German","Sprecht mit Bario; dem Karawanenf","NOT_FOUND","No matching quest in database"
"BergrieseGeholfen","P207",6500,"[]",0.500,"German","llung Eurer Mission geholfen haben! Euer Auftrag hier ist beendet; Ihr k","NOT_FOUND","No matching quest in database"
"SprengzwergBefreit","P207",8500,"[]",0.500,"German","stung und befreit den Greif! Er wird seinen Weg alleine zu mir finden; wenn ihr ihn erst aus den Kla","NOT_FOUND","No matching quest in database"
"SchattenklingeBefreit","P211",10000,"[]",0.500,"German","stung und befreit den Greif! Er wird seinen Weg alleine zu mir finden; wenn ihr ihn erst aus den Kla","NOT_FOUND","No matching quest in database"
"WerwolfAbgelenkt","P211",15000,"[]",0.500,"German","Euch wird schon was einfallen! Schaut Euch in der Umgebung der Tore um; fragt ein paar Leute ... die","NOT_FOUND","No matching quest in database"
"DerPhoenix2Splitter1","P19",800,"[]",0.480,"English","The Guardian has the phoenix. Before he surrenders it; he will want proof of the serious nature of y","NOT_FOUND","No matching quest in database"
"DerPhoenix3Splitter2","P19",800,"[]",0.480,"English","The Guardian has the phoenix. Before he surrenders it; he will want proof of the serious nature of y","NOT_FOUND","No matching quest in database"
"DerPhoenix4Splitter3","P19",800,"[]",0.480,"English","The Guardian has the phoenix. Before he surrenders it; he will want proof of the serious nature of y","NOT_FOUND","No matching quest in database"
"DerPhoenix5Splitter4","P19",800,"[]",0.480,"English","The Guardian has the phoenix. Before he surrenders it; he will want proof of the serious nature of y","NOT_FOUND","No matching quest in database"
"ImCampMitAllenGeredet","P101",15,"[]",0.480,"English","This sword must have wrought many calamities! How many hosts have fallen victim to this blade?","NOT_FOUND","No matching quest in database"
"SQTiondriaFlinkBefreit","P105",250,"[]",0.480,"English","Flink McWinter is looking for a legendary land that is supposedly called Tiondria. Actually; to be m","NOT_FOUND","No matching quest in database"
"SQTiondriaSchatzGeteilt","P105",2500,"[]",0.480,"German","Da ist der Offenbarungsort von Farnhardts Schatz aus Tiondria! All das Gold; das er aus Tiondria mit","NOT_FOUND","No matching quest in database"
"SQTiondriaSchatzBehalten","P105",250,"[]",0.480,"German","Da ist der Offenbarungsort von Farnhardts Schatz aus Tiondria! All das Gold; das er aus Tiondria mit","NOT_FOUND","No matching quest in database"
"SQTiondriaSchatzGefunden","P108",550,"[]",0.480,"German","Da ist der Offenbarungsort von Farnhardts Schatz aus Tiondria! All das Gold; das er aus Tiondria mit","NOT_FOUND","No matching quest in database"
"Room6SpiderGateOpened","P210",15000,"[]",0.480,"English","The gate to the fortress is locked and cannot be opened from outside. You must provoke the undead to","NOT_FOUND","No matching quest in database"
"Room4SkeletonDoorOpened","P210",15000,"[]",0.480,"English","Brigor's fellows escaped with the sigils from Empyria to the South. Look for the sigils there; as so","NOT_FOUND","No matching quest in database"
"Room3HeadDoorOpened","P210",45000,"[]",0.480,"English","Brigor's fellows escaped with the sigils from Empyria to the South. Look for the sigils there; as so","NOT_FOUND","No matching quest in database"
"EndeDesOrdens2DreiItems","P7",1500,"[]",0.400,"English","rgr; a giant has descended from the rocks of the Southern Windwalls and is threatening the vale. He ","NOT_FOUND","No matching quest in database"
"SQTiondriaSeite1Gefunden","P104",500,"[]",0.400,"German","... ist nicht Darius; richtig! Die Kreatur muss das Buch irgendwo gefunden haben ... die Seiten sind","NOT_FOUND","No matching quest in database"
"SQTiondriaSeite2Gefunden","P104",500,"[]",0.400,"German","... ist nicht Darius; richtig! Die Kreatur muss das Buch irgendwo gefunden haben ... die Seiten sind","NOT_FOUND","No matching quest in database"
"SQTiondriaSeite3Gefunden","P104",500,"[]",0.400,"German","... ist nicht Darius; richtig! Die Kreatur muss das Buch irgendwo gefunden haben ... die Seiten sind","NOT_FOUND","No matching quest in database"
"Zauberwerk2Feder","P63",25,"[]",0.333,"English","Today; Nortander is more like a kind of loose confederation of the four surviving ruling houses. The","336","Habt Ihr den Federkiel dabei?"
"Zauberwerk4Robe","P63",120,"[]",0.333,"English","ui_item_quest_robe_03","341;343;344;347","Habt Ihr die Robe flicken lassen? | Oh; mit Tanara zu verhandeln kann durchaus anregen | Oh; mit Tanara zu verhandeln kann durchaus anregen | Hier; ich habe die Robe flicken lassen!"
"Schattenwelt1Castagir","P63",120,"[]",0.333,"English","Castagir believes that Rigour; another necromancer; knows how its power can be returned to the shado","NOT_FOUND","No matching quest in database"
"Schattenwelt3Manifest","P63",1000,"[]",0.333,"English","Bring the shadow manifest to Rigour","NOT_FOUND","No matching quest in database"
"Zwergendienste1Hinrik","P63",120,"[]",0.333,"English","Hinrik in Greyfell wants some brandy from his homeland. Find a suitable bottle and take it to him.","NOT_FOUND","No matching quest in database"
"KleineFische1","P1",10,"[]",0.333,"English","Kleiner Schmerzbringer","NOT_FOUND","No matching quest in database"
"KleineFische2","P1",10,"[]",0.333,"English","Kleiner Schmerzbringer","NOT_FOUND","No matching quest in database"
"Kopfjagd6Complete","P4",60,"[]",0.333,"English","Quest Menu - View quest related items; as well as a list of completed and unsolved quests.","NOT_FOUND","No matching quest in database"
"PurpurnesBanner2","P5",45,"[]",0.333,"English","The House of Utran in the Shiel fell through the hands of a traitor. He has kidnapped Lord Tynar's w","NOT_FOUND","No matching quest in database"
"WeisseSchatten1","P10",80,"[]",0.333,"English","Rigour; ich bringe Euch den Schattenkristall!","NOT_FOUND","No matching quest in database"
"WeisseSchatten2","P10",40,"[]",0.333,"English","Rigour; ich bringe Euch den Schattenkristall!","NOT_FOUND","No matching quest in database"
"Zwergendienste2Cronvig","P10",250,"[]",0.333,"English","Find Cronvig's eyeglasses and bring them to him.","NOT_FOUND","No matching quest in database"
"Grenzkrieg1Festung","P12",300,"[]",0.333,"English","Neu formieren! Ich will diese Festung fallen sehen! Sturm!","221","Was macht ein Kerl wie Ihr in einer Festung wie di"
"Trickster1Cassius","P15",300,"[]",0.333,"English","ui_item_quest_hadekodoll_trickster","NOT_FOUND","No matching quest in database"
"Schattenwelt4Kristall","P15",1400,"[]",0.333,"English","Wo finde ich Feuerkristalle?","NOT_FOUND","No matching quest in database"
"Schattenwelt2Rigour","P21",300,"[]",0.333,"English","Bring the shadow ring to Rigour in Farlorn's Hope","NOT_FOUND","No matching quest in database"
"Schattenwelt2aRigour","P21",400,"[]",0.333,"English","Bring the shadow ring to Rigour in Farlorn's Hope","NOT_FOUND","No matching quest in database"
"Schattenwelt2bRigour","P21",600,"[]",0.333,"English","Bring the shadow ring to Rigour in Farlorn's Hope","NOT_FOUND","No matching quest in database"
"Klingensturm1Monument","P25",1000,"[]",0.333,"English","This Hero Rune can be used on a Hero Monument to summon a hero. To remove it from the Runeboard; the","NOT_FOUND","No matching quest in database"
"Klingensturm2Sartarius","P25",2600,"[]",0.333,"English","Go back to Greyfell and speak to Sartarius.","NOT_FOUND","No matching quest in database"
"HQBefreien","P101",150,"[]",0.333,"English","sst ihn finden und befreien.","NOT_FOUND","No matching quest in database"
"P103Erreicht","P103",75,"[]",0.333,"English","QuestItem Zweite Rune (P103)","NOT_FOUND","No matching quest in database"
"Camp1Befreit","P104",200,"[]",0.333,"English","The camp that is close to the lake could be defended even better. It won't be an easy battle; but pe","NOT_FOUND","No matching quest in database"
"Camp2Befreit","P104",200,"[]",0.333,"English","The camp that is close to the lake could be defended even better. It won't be an easy battle; but pe","NOT_FOUND","No matching quest in database"
"Camp3Befreit","P104",200,"[]",0.333,"English","The camp that is close to the lake could be defended even better. It won't be an easy battle; but pe","NOT_FOUND","No matching quest in database"
"GuramMachtSprengung","P108",550,"[]",0.333,"English","Ich habe seinen Schlafplatz ausfindig gemacht.","NOT_FOUND","No matching quest in database"
"MasterOfMosaic","P108",2000,"[]",0.333,"English","Heavy Combat Art is the ability to master large and powerful weapons and wear heavy armor and shield","NOT_FOUND","No matching quest in database"
"WerwolfTempel1","P109",350,"[]",0.333,"English","Wo finde ich die Tempelanlagen?","NOT_FOUND","No matching quest in database"
"WerwolfTempel2","P109",350,"[]",0.333,"English","Wo finde ich die Tempelanlagen?","NOT_FOUND","No matching quest in database"
"WerwolfTempel3","P109",350,"[]",0.333,"English","Wo finde ich die Tempelanlagen?","NOT_FOUND","No matching quest in database"
"ErstenDrachenGetoetet","P201",5000,"[]",0.333,"English","QuestItem Drachenblut","NOT_FOUND","No matching quest in database"
"ZweitenDrachenGetoetet","P201",5000,"[]",0.333,"English","QuestItem Drachenblut","NOT_FOUND","No matching quest in database"
"DrittenDrachenGetoetet","P201",5000,"[]",0.333,"English","QuestItem Drachenblut","NOT_FOUND","No matching quest in database"
"ViertenDrachenGetoetet","P201",5000,"[]",0.333,"English","QuestItem Drachenblut","NOT_FOUND","No matching quest in database"
"UrneZuHokan","P202",16000,"[]",0.333,"English","The Mask of Belial has to be taken from the Destroyer. Only the Mask will help Hokan in his misery.","NOT_FOUND","No matching quest in database"
"GnomlingBossTot","P202",8000,"[]",0.333,"English","This is where you can learn new abilities. In total; you can learn up to 10 new abilities.","NOT_FOUND","No matching quest in database"
"ExtinctTuermeWeg","P202",10000,"[]",0.333,"English","swego krasnoludzkiego towarzysza.","NOT_FOUND","No matching quest in database"
"DialogMitAeltestem","P203",6000,"[]",0.333,"English","This ability permits the use of blunt weapons with the highest possible destructive power. The weapo","NOT_FOUND","No matching quest in database"
"ZuTarioGegangen","P203",7000,"[]",0.333,"English","Usa questo pulsante per aprire l'inventario del tuo Avatar.","NOT_FOUND","No matching quest in database"
"OberstadtRechtsErreicht","P204",6500,"[]",0.333,"English","Sie haben die Queste 'Die verschollene Rune' erhalten. Wenn Sie die Queste anklicken; erscheinen rec","NOT_FOUND","No matching quest in database"
"OberstadtLinksErreicht","P204",6500,"[]",0.333,"English","Darius is now willing to release Flink. Open Flinks cell with the key Darius gave you.","NOT_FOUND","No matching quest in database"
"LyrioQuestGeloest","P204",6000,"[]",0.333,"English","ui_item_quest_ring_iron","NOT_FOUND","No matching quest in database"
"IshtarTraumstabGebracht","P204",4000,"[]",0.333,"English","Ishtar is worried because of the people who illegally deal with Dreamdust. You have his permission t","NOT_FOUND","No matching quest in database"
"Nymphe1Befreit","P205",6000,"[]",0.333,"English","The nymphets that the Dryads sent out were attacked and scattered around by spider creatures. Look f","NOT_FOUND","No matching quest in database"
"Nymphe2Befreit","P205",6000,"[]",0.333,"English","The nymphets that the Dryads sent out were attacked and scattered around by spider creatures. Look f","NOT_FOUND","No matching quest in database"
"Nymphe3Befreit","P205",6000,"[]",0.333,"English","The nymphets that the Dryads sent out were attacked and scattered around by spider creatures. Look f","NOT_FOUND","No matching quest in database"
"SmallIrfitReward","P205",5000,"[]",0.333,"English","This ability permits the use of small bladed weapons that give fighters or those skilled in magic so","NOT_FOUND","No matching quest in database"
"DialogMitUnterhaendler","P206",7000,"[]",0.333,"English","This ability permits the use of blunt weapons with the highest possible destructive power. The weapo","NOT_FOUND","No matching quest in database"
"Lager1Kaputtgemacht","P206",7000,"[]",0.333,"English","Gesagt; getan. Ich lasse ein paar Sachen in euer Lager bringen.","NOT_FOUND","No matching quest in database"
"Lager2Kaputtgemacht","P206",7000,"[]",0.333,"English","Gesagt; getan. Ich lasse ein paar Sachen in euer Lager bringen.","NOT_FOUND","No matching quest in database"
"DritteFestungBesiegt","P207",9500,"[]",0.333,"English","Wenn Du sie besiegt hast; dann bring die Rune zu mir! Ich werde sie Meister Rohen","NOT_FOUND","No matching quest in database"
"VierteFestungBesiegt","P207",9500,"[]",0.333,"English","Wenn Du sie besiegt hast; dann bring die Rune zu mir! Ich werde sie Meister Rohen","NOT_FOUND","No matching quest in database"
"Prinzessin1Befreit","P208",3000,"[]",0.333,"English","e bringen; Prinzessin. Sollte es mein Volk noch geben; wenn ich dort ankomme ...","NOT_FOUND","No matching quest in database"
"Prinzessin2Befreit","P208",3000,"[]",0.333,"English","e bringen; Prinzessin. Sollte es mein Volk noch geben; wenn ich dort ankomme ...","NOT_FOUND","No matching quest in database"
"Prinzessin3Befreit","P208",3000,"[]",0.333,"English","e bringen; Prinzessin. Sollte es mein Volk noch geben; wenn ich dort ankomme ...","NOT_FOUND","No matching quest in database"
"Prinzessin4Befreit","P208",3000,"[]",0.333,"English","e bringen; Prinzessin. Sollte es mein Volk noch geben; wenn ich dort ankomme ...","NOT_FOUND","No matching quest in database"
"Prinzessin5Befreit","P208",3000,"[]",0.333,"English","e bringen; Prinzessin. Sollte es mein Volk noch geben; wenn ich dort ankomme ...","NOT_FOUND","No matching quest in database"
"UruSpricht1","P209",2000,"[]",0.333,"English","(The dead minotaurus has his eyes rolled back into his head and dry foam around his mouth. It seems ","NOT_FOUND","No matching quest in database"
"UruSpricht2","P209",2000,"[]",0.333,"English","(The dead minotaurus has his eyes rolled back into his head and dry foam around his mouth. It seems ","NOT_FOUND","No matching quest in database"
"UruSpricht3","P209",2000,"[]",0.333,"English","(The dead minotaurus has his eyes rolled back into his head and dry foam around his mouth. It seems ","NOT_FOUND","No matching quest in database"
"UruSpricht4","P209",2000,"[]",0.333,"English","(The dead minotaurus has his eyes rolled back into his head and dry foam around his mouth. It seems ","NOT_FOUND","No matching quest in database"
"UruSpricht5","P209",2000,"[]",0.333,"English","(The dead minotaurus has his eyes rolled back into his head and dry foam around his mouth. It seems ","NOT_FOUND","No matching quest in database"
"TurningHeadsCrossed","P210",10000,"[]",0.333,"English","The spirits of Udwins men are returning to the face of the land near an old mine in Liannon. With th","NOT_FOUND","No matching quest in database"
"TorJenquaiGeoeffnet","P211",6500,"[]",0.333,"English","ui_btn_build_troll_corpsecollector","NOT_FOUND","No matching quest in database"
"EndgegnerSoulforgerKilled","P211",15000,"[]",0.333,"English","This ability permits the use of small bladed weapons that give fighters or those skilled in magic so","NOT_FOUND","No matching quest in database"
"Stele1Off","P212",7000,"[]",0.333,"English","The Nightglow is a special ring that offers good portection against magic. It is particularly useful","NOT_FOUND","No matching quest in database"
"Stele2Off","P212",7000,"[]",0.333,"English","The Nightglow is a special ring that offers good portection against magic. It is particularly useful","NOT_FOUND","No matching quest in database"
"Stele3Off","P212",7000,"[]",0.333,"English","The Nightglow is a special ring that offers good portection against magic. It is particularly useful","NOT_FOUND","No matching quest in database"
"Stele4Off","P212",7000,"[]",0.333,"English","The Nightglow is a special ring that offers good portection against magic. It is particularly useful","NOT_FOUND","No matching quest in database"
"Stele5Off","P212",7000,"[]",0.333,"English","The Nightglow is a special ring that offers good portection against magic. It is particularly useful","NOT_FOUND","No matching quest in database"
"Stele6Off","P212",7000,"[]",0.333,"English","The Nightglow is a special ring that offers good portection against magic. It is particularly useful","NOT_FOUND","No matching quest in database"
"DschungelWeisenDialog","P213",8000,"[]",0.333,"English","Many characters have dialogues and orders that concern the main quest; other characters are only imp","NOT_FOUND","No matching quest in database"
"P102Erreicht","P102",30,"[]",0.333,"Italian","Aber bis Ihr das Portal dorthin erreicht; erwartet Euch noch ein harter Kampf!","NOT_FOUND","No matching quest in database"
"P104Erreicht","P104",125,"[]",0.333,"Italian","Aber bis Ihr das Portal dorthin erreicht; erwartet Euch noch ein harter Kampf!","NOT_FOUND","No matching quest in database"
"EchosBuchstabe1","P63",500,"[]",0.333,"Spanish","Las sospechosas son Lithere y Baetha. Ambas pertenecen a la Orden de Aryn.","NOT_FOUND","No matching quest in database"
"EchosBuchstabe2","P63",500,"[]",0.333,"Spanish","Las sospechosas son Lithere y Baetha. Ambas pertenecen a la Orden de Aryn.","NOT_FOUND","No matching quest in database"
"EchosBuchstabe3","P63",500,"[]",0.333,"Spanish","Las sospechosas son Lithere y Baetha. Ambas pertenecen a la Orden de Aryn.","NOT_FOUND","No matching quest in database"
"Zauberwerk1Augenglas","P63",10,"[]",0.333,"German","tigt ihr die Kristalle? Wollt ihr Zauberwerk damit wirken?","NOT_FOUND","No matching quest in database"
"Zauberwerk3Kreide","P63",35,"[]",0.333,"German","rerkreide zu besorgen. Diese spezielle Kreide wird nur von Orkschamanen hergestellt. Gabar ist hilfl","339","Habt Ihr die Beschwörerkreide gefunden?"
"InInnenstadtGekommen","P110",700,"[]",0.333,"German","ft; ist der Moment gekommen; ihm das vergiftete Fleisch unterzuschieben. Es muss nur schnell gescheh","NOT_FOUND","No matching quest in database"
"Ordensritter1Befreit","P201",4000,"[]",0.333,"German","t; Ordensritter. Was tragt Ihr da in der Hand?","NOT_FOUND","No matching quest in database"
"Ordensritter2Befreit","P201",4000,"[]",0.333,"German","t; Ordensritter. Was tragt Ihr da in der Hand?","NOT_FOUND","No matching quest in database"
"Ordensritter3Befreit","P201",4000,"[]",0.333,"German","t; Ordensritter. Was tragt Ihr da in der Hand?","NOT_FOUND","No matching quest in database"
"BefreiungShiel1Alfalas","P1",60,"[]",0.250,"English","ui_item_quest_dwarfshield_burst","NOT_FOUND","No matching quest in database"
"Kopfjagd1Head1","P4",15,"[]",0.250,"English","ui_item_quest_head_02","NOT_FOUND","No matching quest in database"
"Kopfjagd2Head2","P4",15,"[]",0.250,"English","ui_item_quest_head_02","NOT_FOUND","No matching quest in database"
"Kopfjagd3Head3","P4",15,"[]",0.250,"English","ui_item_quest_head_02","NOT_FOUND","No matching quest in database"
"Kopfjagd4Head4","P4",15,"[]",0.250,"English","ui_item_quest_head_02","NOT_FOUND","No matching quest in database"
"Kopfjagd5Head5","P4",15,"[]",0.250,"English","ui_item_quest_head_02","NOT_FOUND","No matching quest in database"
